date,sep_16,sep_50,sep_84,phase_16,phase_50,phase_84,projected_16,projected_50,projected_84
2019.0,3.2638169883,3.43564879093,3.59213972603,21.2648725637,36.3134846938,55.6058410091,383.509940316,632.024926928,890.370488459
2019.1,3.28367583995,3.44930425755,3.60858037704,18.1424628835,33.5804038971,54.3115170291,328.543234719,592.678979292,879.135833845
2019.2,3.30701289144,3.46134428166,3.6262460107,15.6136849355,31.3920158026,53.1850208286,288.839892124,561.426396865,870.423745632
2019.3,3.32424020142,3.47591974213,3.64618821824,13.5273159771,29.962870661,52.4942265238,253.494839792,542.536757661,866.334098384
2019.4,3.34184402888,3.49220129338,3.66659410551,12.7748744953,29.7087801251,52.4148850715,239.572659056,538.910633819,861.945258236
2019.5,3.35806390937,3.50911349941,3.68873322868,13.3197351146,30.3281866232,52.6637733003,250.786092378,549.780492598,863.899936935
2019.6,3.37004556852,3.52580150761,3.71072453479,14.8112510891,31.7921866934,53.2908206315,276.972502972,577.685925845,872.992267511
2019.7,3.38409014851,3.54247065367,3.73366459285,17.0646077437,33.7608321733,53.8477316703,320.941058209,611.907523089,891.173214689
2019.8,3.39490404958,3.5580252194,3.75782709823,20.0354519321,36.0065859626,54.8846692436,377.879333667,651.144822269,908.876130657
2019.9,3.40741683378,3.57341251293,3.78226619074,23.5469528469,38.6833384281,56.1354461314,438.772098871,693.321413701,928.53399769
2020.0,3.41655317143,3.58477088058,3.80387949151,27.3176793802,41.665437188,57.8728334233,505.322231916,737.183088536,955.6958721
2020.1,3.42452908957,3.59418011609,3.82377184814,31.1010078855,44.7592525559,59.9467156594,571.777699119,783.918781413,979.110015485
2020.2,3.43147965689,3.60334190159,3.84355684722,34.9786171243,48.0339425528,62.1018377791,636.071249851,831.449105998,1006.89208412
2020.3,3.4401342594,3.61368549733,3.86176874694,38.9739817218,51.4006804562,64.4167558557,700.800184671,876.741975892,1035.18571431
2020.4,3.44493427389,3.62516362101,3.87995326188,43.0068323739,54.76777132,66.8446273786,760.697806528,920.356320638,1058.42627433
2020.5,3.44885088526,3.63423047085,3.89468250516,47.0281187861,58.2409645588,69.3483626291,817.299595185,957.221801406,1083.58022977
