star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HD 134987,HIP 74500,HD 134987,GJ 579.4,2MASS J15132869-2518335,1,1,1,0,0,1,2,15h13m28.93s,-25.309164,-25d18m33.0s,26.21,0.53,-0.51,6.46,0.02,0.71,0.02,G5V,1.63,0.06
HIP 74824,HIP 74824,HD 135379,GJ 580.1,2MASS J15173088-5848043,0,1,0,0,0,0,0,15h17m30.85s,-58.801208,-58d48m04.4s,29.63,0.64,-0.67,4.07,,0.09,,A2/3 IV/V,,
HD 136352,HIP 75181,HD 136352,GJ 582,2MASS J15214824-4819032,1,0,1,0,0,1,0,15h21m49.57s,-48.316959,-48d19m01.1s,14.81,0.15,-0.15,5.65,0,0.64,0,G3/5V,1.09,0.05
HIP 75312 A,HIP 75312 A,HD 137107,GJ 584 A,2MASS J15231232+3017162 A,1,0,0,1,0,0,0,15h23m12.23s,30.288241,+30d17m17.7s,17.86,0.18,-0.18,5.58,0.02,0.55,0.02,G2V,1.64,0.11
HIP 75458,HIP 75458,HD 137759,,2MASS J15245578+5857577,0,1,0,0,0,1,1,15h24m55.77s,58.966064,+58d57m57.8s,31.33,0.49,-0.51,3.29,,1.16,,K2 III,,
HIP 75695,HIP 75695,HD 137909,,2MASS J15274972+2906202,0,1,0,0,0,0,0,15h27m49.73s,29.105703,+29d06m20.5s,34.97,0.82,-0.86,3.68,,0.29,,A8 V: SrCrEu,,
HIP 76267,HIP 76267,HD 139006,GJ 9524,2MASS J15344125+2642529,1,1,0,0,0,0,0,15h34m41.19s,26.71491,+26d42m53.7s,23.01,0.23,-0.23,2.21,0,0.03,0,A0V,70.81,0.05
HIP 76829,HIP 76829,HD 139664,GJ 594,2MASS J15411138-4439401,1,1,0,0,0,0,0,15h41m11.52s,-44.660559,-44d39m38.0s,17.44,,,4.63,0.02,0.41,0.01,F3/5V,3.58,0.06
HIP 77070,HIP 77070,HD 140573,GJ 596.2,2MASS J15441605+0625324,1,1,0,0,0,0,0,15h44m16.00s,6.42552,+06d25m31.9s,22.68,,,2.61,0.02,1.17,0.02,K2III,58.78,0.06
HIP 77257,HIP 77257,HD 141004,GJ 598,2MASS J15462661+0721109,1,1,1,1,1,1,0,15h46m26.75s,7.35324,+07d21m11.7s,12.12,,,4.41,0.02,0.6,0.01,G0Vvar,2.22,0.06
HIP 77622,HIP 77622,HD 141795,GJ 3921,2MASS J15504895+0428399,1,1,0,0,0,0,0,15h50m48.89s,4.47758,+04d28m39.3s,21.6,,,3.71,0.01,0.15,0.01,Am(kA2hA5mA7V),12.88,0.1
HIP 77760,HIP 77760,HD 142373,GJ 602,2MASS J15524052+4227052,1,1,1,0,1,1,0,15h52m40.19s,42.449988,+42d27m00.0s,15.89,,,4.6,0.02,0.56,0.01,F9V,3.26,0.06
HIP 77952,HIP 77952,HD 141891,GJ 601 A,2MASS J15550857-6325507,1,1,1,0,0,0,0,15h55m08.81s,-63.42975,-63d25m47.1s,12.38,,,2.81,0.02,0.32,0,F0III/IV,9.43,0.06
HIP 78072,HIP 78072,HD 142860,GJ 603,2MASS J15562720+1539413,1,1,1,1,1,1,0,15h56m26.99s,15.664733,+15d39m53.0s,11.25,,,3.85,0,0.48,0.01,F6V,3.13,0.05
HIP 78527,HIP 78527,HD 144284,GJ 609.1,2MASS J16015340+5833544,1,1,0,0,0,0,0,16h01m53.70s,58.564437,+58d33m52.0s,21.03,,,3.99,0.02,0.53,0.01,F8IV-V,14.84,0.06
HD 142022 A,HIP 79242,HD 142022 A,GJ 606.1 A,2MASS J16101494-8413536,0,0,1,0,0,1,1,16h10m15.02s,-84.231613,-84d13m53.8s,35.87,0.85,-0.9,7.655,,0.8,,G9 IV-V,,
14 Her,HIP 79248,HD 145675,GJ 614,2MASS J16102432+4349037,1,1,1,0,0,1,1,16h10m24.21s,43.81837,+43d49m06.1s,17.57,0.18,-0.17,6.61,0.02,0.88,0.01,K0V,0.7,0.04
HIP 79672,HIP 79672,HD 146233,GJ 616,2MASS J16153726-0822096,1,0,1,0,0,1,0,16h15m37.13s,-8.368237,-08d22m05.7s,13.9,0.14,-0.14,5.5,0.02,0.65,0.01,G5V,1.11,0.1
