*SPECTRA OF METHANE, JOVIAN PLANETS, AND TITAN
*Data from:  Spectrophotometry of the Jovian Planets and Titan 
*at 300 - 1000 nm Wavelength: the Methane Spectrum
*Column 1:  Vacuum wavelength (nm)
*       2:  Air wavelength (nm)
*       3:  Methane absorption coefficient (1/km-am)
*       4:  Full-disk albedo of Jupiter
*       5:  Full-disk albedo of Saturn
*       6:  Full-disk albedo of Uranus
*       7:  Full-disk albedo of Neptune
*       8:  Full-disk albedo of Titan
 336.0  335.90   .0000 .2856 .2229 .5389 .5855 .0653
 336.4  336.30   .0000 .2816 .2187 .5401 .5866 .0663
 336.8  336.70   .0000 .2834 .2192 .5372 .5879 .0657
 337.2  337.10   .0000 .2845 .2194 .5378 .5808 .0656
 337.6  337.50   .0000 .2796 .2153 .5287 .5772 .0667
 338.0  337.90   .0000 .2826 .2175 .5271 .5724 .0659
 338.4  338.30   .0000 .2798 .2154 .5252 .5683 .0661
 338.8  338.70   .0000 .2799 .2148 .5193 .5678 .0662
 339.2  339.10   .0000 .2827 .2160 .5238 .5694 .0659
 339.6  339.50   .0000 .2812 .2140 .5219 .5645 .0662
 340.0  339.90   .0000 .2787 .2120 .5133 .5575 .0668
 340.4  340.30   .0000 .2809 .2134 .5138 .5574 .0668
 340.8  340.70   .0000 .2822 .2137 .5163 .5602 .0670
 341.2  341.10   .0000 .2828 .2132 .5196 .5675 .0670
 341.6  341.50   .0000 .2843 .2141 .5234 .5661 .0669
 342.0  341.90   .0000 .2814 .2115 .5188 .5636 .0677
 342.4  342.30   .0000 .2840 .2130 .5167 .5597 .0674
 342.8  342.70   .0000 .2819 .2115 .5147 .5577 .0679
 343.2  343.10   .0000 .2813 .2108 .5135 .5586 .0681
 343.6  343.50   .0000 .2836 .2119 .5210 .5698 .0684
 344.0  343.90   .0000 .2896 .2153 .5382 .5890 .0680
 344.4  344.30   .0000 .2909 .2148 .5440 .5897 .0685
 344.8  344.70   .0000 .2857 .2102 .5262 .5712 .0692
 345.2  345.10   .0000 .2858 .2098 .5152 .5610 .0688
 345.6  345.50   .0000 .2874 .2101 .5171 .5636 .0688
 346.0  345.90   .0000 .2896 .2111 .5246 .5689 .0684
 346.4  346.30   .0000 .2868 .2086 .5245 .5690 .0689
 346.8  346.70   .0000 .2871 .2086 .5220 .5662 .0693
 347.2  347.10   .0000 .2885 .2094 .5260 .5762 .0697
 347.6  347.50   .0000 .2913 .2112 .5283 .5747 .0693
 348.0  347.90   .0000 .2864 .2070 .5191 .5654 .0695
 348.4  348.30   .0000 .2882 .2075 .5150 .5609 .0693
 348.8  348.70   .0000 .2892 .2073 .5198 .5695 .0697
 349.2  349.10   .0000 .2928 .2091 .5252 .5756 .0694
 349.6  349.50   .0000 .2904 .2072 .5234 .5704 .0697
 350.0  349.89   .0000 .2879 .2052 .5133 .5570 .0702
 350.4  350.29   .0000 .2880 .2051 .5067 .5533 .0705
 350.8  350.69   .0000 .2903 .2064 .5114 .5591 .0706
 351.2  351.09   .0000 .2913 .2068 .5170 .5636 .0705
 351.6  351.49   .0000 .2901 .2057 .5149 .5596 .0706
 352.0  351.89   .0000 .2913 .2058 .5143 .5653 .0710
 352.4  352.29   .0000 .2973 .2090 .5226 .5737 .0710
 352.8  352.69   .0000 .2937 .2059 .5202 .5685 .0710
 353.2  353.09   .0000 .2916 .2042 .5111 .5589 .0711
 353.6  353.49   .0000 .2919 .2043 .5075 .5545 .0711
 354.0  353.89   .0000 .2918 .2040 .5084 .5549 .0712
 354.4  354.29   .0000 .2921 .2039 .5090 .5551 .0714
 354.8  354.69   .0000 .2923 .2037 .5083 .5551 .0720
 355.2  355.09   .0000 .2941 .2043 .5108 .5581 .0724
 355.6  355.49   .0000 .2949 .2043 .5124 .5573 .0723
 356.0  355.89   .0000 .2939 .2033 .5115 .5576 .0728
 356.4  356.29   .0000 .2965 .2048 .5201 .5721 .0731
 356.8  356.69   .0000 .3020 .2082 .5315 .5840 .0728
 357.2  357.09   .0000 .3001 .2065 .5352 .5844 .0731
 357.6  357.49   .0000 .2990 .2052 .5348 .5877 .0734
 358.0  357.89   .0000 .3057 .2089 .5433 .6009 .0729
 358.4  358.29   .0000 .3063 .2085 .5517 .6108 .0726
 358.8  358.69   .0000 .3018 .2053 .5396 .5921 .0729
 359.2  359.09   .0000 .2966 .2023 .5249 .5742 .0736
 359.6  359.49   .0000 .2968 .2026 .5153 .5627 .0735
 360.0  359.89   .0000 .2975 .2026 .5127 .5632 .0742
 360.4  360.29   .0000 .3026 .2053 .5214 .5742 .0744
 360.8  360.69   .0000 .3045 .2059 .5314 .5840 .0746
 361.2  361.09   .0000 .3035 .2047 .5288 .5785 .0752
 361.6  361.49   .0000 .3026 .2034 .5222 .5774 .0752
 362.0  361.89   .0000 .3044 .2042 .5222 .5718 .0745
 362.4  362.29   .0000 .2994 .2009 .5164 .5637 .0753
 362.8  362.69   .0000 .3005 .2013 .5092 .5602 .0756
 363.2  363.09   .0000 .3057 .2043 .5126 .5625 .0750
 363.6  363.49   .0000 .3016 .2015 .5155 .5628 .0755
 364.0  363.89   .0000 .3011 .2011 .5149 .5656 .0761
 364.4  364.29   .0000 .3053 .2035 .5205 .5732 .0759
 364.8  364.69   .0000 .3065 .2039 .5239 .5754 .0758
 365.2  365.09   .0000 .3023 .2011 .5155 .5648 .0760
 365.6  365.49   .0000 .3011 .2001 .5073 .5551 .0761
 366.0  365.89   .0000 .3012 .1999 .5043 .5523 .0763
 366.4  366.29   .0000 .3025 .2003 .5043 .5518 .0764
 366.8  366.69   .0000 .3033 .2002 .5086 .5552 .0767
 367.2  367.09   .0000 .3044 .2007 .5139 .5622 .0771
 367.6  367.49   .0000 .3056 .2013 .5173 .5686 .0773
 368.0  367.89   .0000 .3076 .2022 .5158 .5651 .0771
 368.4  368.29   .0000 .3062 .2010 .5171 .5676 .0777
 368.8  368.69   .0000 .3073 .2017 .5194 .5671 .0776
 369.2  369.09   .0000 .3046 .1998 .5146 .5636 .0779
 369.6  369.49   .0000 .3066 .2008 .5125 .5593 .0780
 370.0  369.89   .0000 .3071 .2007 .5168 .5659 .0786
 370.4  370.29   .0000 .3125 .2035 .5263 .5799 .0783
 370.8  370.69   .0000 .3130 .2035 .5294 .5792 .0782
 371.2  371.09   .0000 .3079 .2000 .5197 .5668 .0793
 371.6  371.49   .0000 .3106 .2013 .5204 .5720 .0799
 372.0  371.89   .0000 .3172 .2056 .5349 .5862 .0795
 372.4  372.29   .0000 .3125 .2028 .5346 .5824 .0802
 372.8  372.69   .0000 .3125 .2024 .5265 .5762 .0810
 373.2  373.09   .0000 .3177 .2051 .5359 .5915 .0806
 373.6  373.49   .0000 .3217 .2074 .5496 .6005 .0800
 374.0  373.89   .0000 .3158 .2035 .5467 .5986 .0815
 374.4  374.29   .0000 .3219 .2073 .5483 .6058 .0813
 374.8  374.69   .0000 .3229 .2081 .5558 .6100 .0806
 375.2  375.09   .0000 .3148 .2031 .5398 .5890 .0810
 375.6  375.49   .0000 .3144 .2024 .5288 .5809 .0813
 376.0  375.89   .0000 .3205 .2059 .5346 .5843 .0812
 376.4  376.29   .0000 .3187 .2046 .5402 .5920 .0816
 376.8  376.69   .0000 .3185 .2045 .5340 .5847 .0816
 377.2  377.09   .0000 .3160 .2027 .5250 .5723 .0814
 377.6  377.49   .0000 .3158 .2025 .5217 .5673 .0816
 378.0  377.89   .0000 .3167 .2030 .5188 .5626 .0822
 378.4  378.29   .0000 .3178 .2034 .5183 .5640 .0827
 378.8  378.69   .0000 .3210 .2054 .5246 .5703 .0830
 379.2  379.09   .0000 .3207 .2053 .5334 .5825 .0832
 379.6  379.49   .0000 .3223 .2062 .5354 .5872 .0829
 380.0  379.89   .0000 .3204 .2048 .5309 .5784 .0828
 380.4  380.29   .0000 .3180 .2028 .5278 .5742 .0836
 380.8  380.69   .0000 .3216 .2050 .5288 .5735 .0838
 381.2  381.09   .0000 .3228 .2060 .5350 .5832 .0843
 381.6  381.49   .0000 .3280 .2095 .5469 .5948 .0843
 382.0  381.89   .0000 .3275 .2093 .5572 .6068 .0846
 382.4  382.29   .0000 .3305 .2106 .5727 .6262 .0846
 382.8  382.69   .0000 .3344 .2126 .5853 .6387 .0846
 383.2  383.09   .0000 .3332 .2117 .5866 .6436 .0847
 383.6  383.48   .0000 .3339 .2121 .5828 .6411 .0844
 384.0  383.88   .0000 .3305 .2100 .5678 .6186 .0845
 384.4  384.28   .0000 .3243 .2065 .5459 .5945 .0851
 384.8  384.68   .0000 .3253 .2070 .5361 .5829 .0849
 385.2  385.08   .0000 .3274 .2082 .5408 .5862 .0851
 385.6  385.48   .0000 .3298 .2096 .5512 .6007 .0850
 386.0  385.88   .0000 .3320 .2110 .5581 .6042 .0851
 386.4  386.28   .0000 .3288 .2087 .5510 .5988 .0860
 386.8  386.68   .0000 .3314 .2101 .5456 .5945 .0860
 387.2  387.08   .0000 .3317 .2109 .5446 .5894 .0856
 387.6  387.48   .0000 .3286 .2093 .5409 .5862 .0864
 388.0  387.88   .0000 .3326 .2117 .5376 .5822 .0862
 388.4  388.28   .0000 .3326 .2114 .5384 .5842 .0867
 388.8  388.68   .0000 .3342 .2124 .5388 .5836 .0870
 389.2  389.08   .0000 .3318 .2110 .5360 .5797 .0878
 389.6  389.48   .0000 .3343 .2125 .5370 .5798 .0882
 390.0  389.88   .0000 .3367 .2141 .5398 .5845 .0887
 390.4  390.28   .0000 .3367 .2145 .5391 .5829 .0887
 390.8  390.68   .0000 .3337 .2130 .5326 .5740 .0887
 391.2  391.08   .0000 .3327 .2123 .5282 .5684 .0890
 391.6  391.48   .0000 .3352 .2140 .5306 .5698 .0893
 392.0  391.88   .0000 .3372 .2155 .5378 .5761 .0893
 392.4  392.28   .0000 .3398 .2169 .5452 .5853 .0896
 392.8  392.68   .0000 .3481 .2214 .5672 .6149 .0897
 393.2  393.08   .0000 .3568 .2262 .6065 .6626 .0889
 393.6  393.48   .0000 .3498 .2224 .6066 .6589 .0904
 394.0  393.88   .0000 .3429 .2190 .5750 .6228 .0916
 394.4  394.28   .0000 .3439 .2199 .5568 .5994 .0915
 394.8  394.68   .0000 .3418 .2191 .5484 .5895 .0919
 395.2  395.08   .0000 .3414 .2192 .5462 .5853 .0915
 395.6  395.48   .0000 .3429 .2205 .5471 .5854 .0913
 396.0  395.88   .0000 .3462 .2228 .5552 .5964 .0916
 396.4  396.28   .0000 .3558 .2286 .5814 .6289 .0915
 396.8  396.68   .0000 .3604 .2306 .6153 .6675 .0911
 397.2  397.08   .0000 .3494 .2242 .5899 .6370 .0922
 397.6  397.48   .0000 .3434 .2212 .5538 .5939 .0930
 398.0  397.88   .0000 .3433 .2213 .5357 .5730 .0929
 398.4  398.28   .0000 .3443 .2221 .5280 .5640 .0925
 398.8  398.68   .0000 .3435 .2218 .5228 .5580 .0924
 399.2  399.08   .0000 .3435 .2220 .5206 .5566 .0926
 399.6  399.48   .0000 .3447 .2231 .5252 .5605 .0931
 400.0  399.88   .0000 .3459 .2240 .5302 .5649 .0933
 400.4  400.28   .0000 .3468 .2249 .5353 .5696 .0936
 400.8  400.68   .0000 .3469 .2258 .5340 .5675 .0936
 401.2  401.08   .0000 .3452 .2253 .5290 .5621 .0936
 401.6  401.48   .0000 .3463 .2260 .5238 .5561 .0938
 402.0  401.88   .0000 .3460 .2259 .5176 .5505 .0939
 402.4  402.28   .0000 .3462 .2264 .5137 .5457 .0945
 402.8  402.68   .0000 .3478 .2277 .5159 .5501 .0947
 403.2  403.08   .0000 .3514 .2302 .5259 .5607 .0949
 403.6  403.48   .0000 .3504 .2301 .5334 .5663 .0951
 404.0  403.88   .0000 .3520 .2312 .5354 .5690 .0956
 404.4  404.28   .0000 .3555 .2335 .5426 .5769 .0960
 404.8  404.68   .0000 .3548 .2336 .5443 .5775 .0959
 405.2  405.08   .0000 .3532 .2332 .5416 .5740 .0963
 405.6  405.48   .0003 .3554 .2352 .5382 .5662 .0967
 406.0  405.88   .0007 .3551 .2355 .5342 .5598 .0971
 406.4  406.28   .0009 .3567 .2369 .5326 .5573 .0973
 406.8  406.68   .0007 .3559 .2366 .5359 .5619 .0973
 407.2  407.08   .0005 .3587 .2383 .5411 .5698 .0972
 407.6  407.48   .0002 .3595 .2390 .5464 .5777 .0975
 408.0  407.88   .0001 .3589 .2392 .5462 .5781 .0975
 408.4  408.28   .0000 .3576 .2386 .5431 .5752 .0976
 408.8  408.68   .0000 .3583 .2393 .5418 .5733 .0979
 409.2  409.08   .0000 .3593 .2402 .5435 .5740 .0981
 409.6  409.48   .0000 .3622 .2424 .5513 .5832 .0981
 410.0  409.88   .0001 .3633 .2434 .5582 .5914 .0983
 410.4  410.28   .0002 .3616 .2431 .5555 .5870 .0982
 410.8  410.68   .0001 .3609 .2431 .5516 .5828 .0987
 411.2  411.08   .0000 .3638 .2453 .5501 .5800 .0993
 411.6  411.48   .0000 .3639 .2458 .5474 .5769 .0998
 412.0  411.88   .0000 .3653 .2470 .5467 .5749 .1000
 412.4  412.28   .0000 .3657 .2478 .5473 .5754 .1005
 412.8  412.68   .0000 .3672 .2493 .5486 .5772 .1008
 413.2  413.08   .0000 .3678 .2506 .5522 .5809 .1013
 413.6  413.48   .0000 .3679 .2510 .5528 .5806 .1016
 414.0  413.88   .0000 .3694 .2521 .5551 .5835 .1018
 414.4  414.28   .0000 .3727 .2547 .5590 .5856 .1023
 414.8  414.68   .0000 .3713 .2542 .5620 .5874 .1024
 415.2  415.08   .0000 .3731 .2559 .5621 .5878 .1025
 415.6  415.48   .0000 .3724 .2561 .5583 .5833 .1029
 416.0  415.88   .0000 .3710 .2560 .5526 .5776 .1032
 416.4  416.28   .0000 .3720 .2568 .5504 .5748 .1036
 416.8  416.67   .0000 .3746 .2587 .5565 .5805 .1038
 417.2  417.07   .0000 .3754 .2599 .5625 .5861 .1043
 417.6  417.47   .0000 .3757 .2607 .5647 .5891 .1045
 418.0  417.87   .0000 .3767 .2618 .5662 .5900 .1048
 418.4  418.27   .0000 .3783 .2631 .5655 .5879 .1051
 418.8  418.67   .0002 .3783 .2637 .5636 .5826 .1055
 419.2  419.07   .0005 .3781 .2641 .5581 .5752 .1058
 419.6  419.47   .0007 .3800 .2660 .5571 .5739 .1060
 420.0  419.87   .0009 .3808 .2672 .5599 .5748 .1064
 420.4  420.27   .0008 .3786 .2663 .5570 .5730 .1066
 420.8  420.67   .0006 .3789 .2672 .5564 .5734 .1069
 421.2  421.07   .0004 .3805 .2687 .5584 .5767 .1071
 421.6  421.47   .0002 .3811 .2696 .5623 .5809 .1074
 422.0  421.87   .0000 .3830 .2711 .5665 .5869 .1079
 422.4  422.27   .0000 .3865 .2735 .5771 .5978 .1082
 422.8  422.67   .0000 .3875 .2752 .5811 .5995 .1085
 423.2  423.07   .0000 .3838 .2735 .5752 .5959 .1088
 423.6  423.47   .0000 .3871 .2761 .5728 .5924 .1089
 424.0  423.87   .0000 .3848 .2754 .5722 .5912 .1089
 424.4  424.27   .0000 .3849 .2760 .5702 .5894 .1090
 424.8  424.67   .0000 .3871 .2778 .5734 .5920 .1098
 425.2  425.07   .0000 .3886 .2793 .5773 .5955 .1104
 425.6  425.47   .0000 .3893 .2801 .5763 .5953 .1105
 426.0  425.87   .0000 .3892 .2809 .5748 .5922 .1105
 426.4  426.27   .0000 .3881 .2807 .5717 .5882 .1105
 426.8  426.67   .0000 .3914 .2829 .5774 .5955 .1105
 427.2  427.07   .0000 .3949 .2856 .5873 .6043 .1110
 427.6  427.47   .0000 .3918 .2845 .5838 .6009 .1117
 428.0  427.87   .0000 .3924 .2856 .5798 .5959 .1120
 428.4  428.27   .0000 .3946 .2871 .5813 .5968 .1120
 428.8  428.67   .0000 .3942 .2875 .5852 .6000 .1121
 429.2  429.07   .0000 .3946 .2886 .5840 .5985 .1126
 429.6  429.47   .0001 .3962 .2899 .5898 .6045 .1130
 430.0  429.87   .0001 .4008 .2934 .6013 .6142 .1132
 430.4  430.27   .0001 .4014 .2940 .6080 .6227 .1138
 430.8  430.67   .0000 .4022 .2959 .6123 .6286 .1136
 431.2  431.07   .0001 .3978 .2942 .5996 .6137 .1138
 431.6  431.47   .0002 .3935 .2921 .5815 .5946 .1137
 432.0  431.87   .0002 .3972 .2948 .5777 .5910 .1140
 432.4  432.27   .0003 .4008 .2971 .5831 .5943 .1147
 432.8  432.67   .0004 .3971 .2959 .5832 .5931 .1149
 433.2  433.07   .0005 .3960 .2956 .5750 .5852 .1150
 433.6  433.47   .0007 .3986 .2975 .5762 .5863 .1148
 434.0  433.87   .0008 .4004 .2996 .5852 .5927 .1149
 434.4  434.27   .0009 .3963 .2977 .5806 .5885 .1157
 434.8  434.67   .0008 .3987 .3004 .5768 .5854 .1162
 435.2  435.07   .0008 .4022 .3032 .5761 .5827 .1167
 435.6  435.47   .0009 .4007 .3027 .5717 .5784 .1172
 436.0  435.87   .0010 .4013 .3040 .5684 .5737 .1176
 436.4  436.27   .0013 .4016 .3042 .5630 .5661 .1179
 436.8  436.67   .0014 .4020 .3053 .5603 .5627 .1177
 437.2  437.07   .0014 .4032 .3065 .5626 .5649 .1183
 437.6  437.47   .0012 .4051 .3081 .5675 .5698 .1187
 438.0  437.87   .0009 .4066 .3098 .5764 .5806 .1192
 438.4  438.27   .0007 .4111 .3136 .5875 .5907 .1200
 438.8  438.67   .0006 .4070 .3121 .5911 .5950 .1200
 439.2  439.07   .0010 .4078 .3131 .5822 .5839 .1201
 439.6  439.47   .0019 .4072 .3130 .5712 .5690 .1199
 440.0  439.87   .0036 .4079 .3143 .5581 .5499 .1199
 440.4  440.27   .0055 .4086 .3149 .5399 .5246 .1207
 440.8  440.67   .0068 .4069 .3145 .5264 .5098 .1206
 441.2  441.07   .0071 .4068 .3149 .5221 .5062 .1208
 441.6  441.47   .0065 .4089 .3167 .5261 .5113 .1212
 442.0  441.87   .0053 .4075 .3170 .5356 .5248 .1215
 442.4  442.27   .0039 .4099 .3188 .5453 .5380 .1219
 442.8  442.67   .0026 .4112 .3200 .5620 .5565 .1221
 443.2  443.07   .0016 .4128 .3217 .5757 .5722 .1226
 443.6  443.47   .0010 .4130 .3220 .5769 .5761 .1234
 444.0  443.87   .0006 .4108 .3216 .5794 .5801 .1234
