# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
BD-11 4672 b,Confirmed,0.53,0.05,0.05,0.53,0.05,0.05,,,,1667,33,33,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,2/23/16,,,,2455899,38,46,,,,,,,,,,,,,,,,,,,13.4,1,1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.3708333,-11.63611113,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4,4,4475,100,100,,,
HD 114386 b,Confirmed,1.24,,,1.24,,,,,,937,15.6,15.6,1.02,,,0.23,0.03,0.03,,,,0.058929,2003,7/24/12,273,14,14,50454,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114386,197.6625,-35.0547222,8.73,,,,,28,,,0,,,0.75,,,0.76,,,K3 V,2.19,,,4819,,,,,
HD 70642 b,Confirmed,2,,,2,,,,,,2231,400,400,3.3,,,0.1,0.06,0.06,,,,0.114583,2003,1/1/11,277,75,75,2451749,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 70642,125.3666667,-39.7052778,7.17,,,,,28.8,,,0.16,0.02,0.02,1,0.05,0.05,0.84,,,G5 IV-V,3.88,,,5670,20,20,,,
HD 111232 b,Confirmed,6.8,,,6.8,,,,,,1143,14,14,1.97,,,0.2,0.01,0.01,,,,0.067931,2004,12/29/10,98,6,6,51230,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 111232,192.2125,-68.425,7.61,,,,,29,,,-0.36,0.04,0.04,0.78,,,,,,G8V,5.2,,,5494,,,,,
HD 150433 b,Confirmed,0.168,0.0197,0.0197,0.168,0.0197,0.0197,,,,1096.2,27.234,27.234,1.9303,0.0452,0.0452,0,,,,,,0.065213,2011,9/12/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 150433,250.2833333,-2.8572222,7.22,,,,,29.6,0.5,0.5,,,,,,,,,,G0,,,,,,,,,
HD 89307 b,Confirmed,2,0.4,0.4,2,0.4,0.4,,,,2199,61,61,3.34,0.17,0.17,0.25,0.09,0.09,,,,0.108091,2004,5/25/12,14,33,33,2454549,190,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 89307,154.5875,12.6208333,7.06,,,,,30.9,,,-0.14,0.04,0.04,1.028,0.04,0.04,1.05,0.04,0.04,G0V,6.76,,,5950,44,44,,,
HD 50554 b,Confirmed,5.16,,,5.16,,,,,,1293,37,37,2.41,,,0.5,0.03,0.03,,,,0.077667,2002,12/30/10,355.7,4.4,4.4,2451832.4,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,,,-0.07,,,1.04,,,1.11,0.33,0.33,F8,4.58,,,5902,,,IR Excess,,
kappa CrB b,Confirmed,1.6,,,1.6,,,,,,1251,15,15,2.6,,,0.19,0.1,0.1,,,,0.086817,2007,9/1/12,34,40,40,2451860,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,kappa CrB,237.8083333,35.6575,4.79,,3.04,2.04,2.42,31.1,0.6,0.6,0.14,0.05,0.05,1.51,0.2,0.2,5,0.2,0.2,K1IVa,2.5,1,1,4960,70,70,,,
HD 10697 b,Confirmed,6.837,0.532,2.637,6.383,0.078,0.078,1.152,,,1075.69,0.82,0.82,2.14,0.088,0.088,0.1043,0.0083,0.0083,69,26,26,0.066339,2000,12/30/18,114.9,6,6,2451492,17,17,,,,,,,,,,,,,,,,,,,116.9,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,109 Psc b,,HD 10697,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600,80,80,,,109 Psc
HD 81040 b,Confirmed,6.86,0.71,0.71,6.86,0.71,0.71,,,,1001.7,7,7,1.94,,,0.526,0.042,0.042,,,,0.059582,2005,12/23/10,81.3,7.2,7.2,2452504,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 81040,140.9458333,20.3644444,7.72,,,,,32.56,1.31,1.31,-0.16,0.06,0.06,0.96,0.04,0.04,0.86,0.04,0.04,G2/G3,4.18,,,5700,50,50,,,
