# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 10180 h,Confirmed,0.202624,,,0.202624,,,,,,2222,91,91,3.4,0.11,0.11,0.08,0.07,0.07,,,,0.086294,2010,12/7/10,174,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10180,24.475,-60.5116667,7.33,,,,,39.4,1,1,0.08,0.01,0.01,1.06,0.05,0.05,,,,G1V,4.3,0.5,0.5,5911,19,19,,,
HD 213240 b,Confirmed,4.5,,,4.5,,,,,,951,42,42,2.03,,,0.45,0.04,0.04,,,,0.049816,2001,9/25/12,214,7,7,51520,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 213240,337.75,-49.4330556,6.8,,,,,40.75,,,0.16,,,1.22,,,1.5,,,G4 IV,5.11,,,5975,,,,,
HD 86226 b,Confirmed,1.5,1,1,1.5,1,1,,,,1534,280,280,2.6,0.4,0.4,0.73,0.21,0.21,,,,0.061205,2010,8/27/14,58,50,50,2452240,290,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 86226,149.125,-24.0994444,7.93,,,,,42.48,1.53,1.53,-0.04,,,1.02,,,,,,G2V,,,,,,,,,
HD 13931 b,Confirmed,1.88,0.15,0.15,1.88,0.15,0.15,,,,4218,388,388,5.15,0.29,0.29,0.02,0.05,0.05,,,,0.116516,2010,8/30/14,290,78,78,2454494,904,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 13931,34.1958333,43.7730556,7.61,,,,,44.2,1.4,1.4,0.03,0.04,0.04,1.02,0.02,0.02,1.23,0.06,0.06,G0,8.4,2,2,5829,44,44,,,
HIP 5158 c,Confirmed,15.04,10.55,10.55,15.04,10.55,10.55,,,,9018,3181,3181,7.7,1.88,1.88,0.14,0.1,0.1,,,,0.171111,2010,5/6/11,142,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HIP 5158,16.5083333,-22.4530556,10.21,,,,,45,4,4,0.1,0.07,0.07,0.78,0.021,0.021,,,,K5V,6,inf,nan,4962,89,89,,,
HD 202206 (AB) c,Confirmed,17.9,1.8,2.9,,,,,,,1260,11,11,2.41,,,0.22,0.03,0.03,7.7,1.1,1.1,0.055028,2004,7/31/18,280,4,4,2453103,452,452,,,,,,,,,,,,,,,,,,,41,1,1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 202206 A,318.7375,-20.7891667,8.08,,,,,45.54,0.25,0.25,0.37,0.07,0.07,1.13,,,1.02,,,G8 V,2.04,,,5750,75,75,IR Excess,,
HD 24040 b,Confirmed,4.01,0.49,0.49,4.01,0.49,0.49,,,,3668,170,170,4.92,0.38,0.38,0.04,0.06,0.06,,,,0.105784,2006,5/25/12,154,54,54,2454308,839,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 24040,57.5958333,17.4763889,7.52,,,,,46.51,2.3,2.3,0.206,0.03,0.03,1.18,,,,,,G0,6.68,1.52,1.52,5853,44,44,,,
nu Oph c,Confirmed,24.662,,,24.662,,,,,,3184.83,5.93,5.93,5.931,,,0.18,0.006,0.006,,,,0.125641,2010,4/2/19,8.27,1.98,1.98,2453038,38,38,,,,,,,,,,,,,,,,,,,177.78,1.3,1.3,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,,,,nu Oph,269.7583333,-9.7736111,3.33,,,,,46.8,1.8,1.8,0.13,0.05,0.05,3.04,0.06,0.06,15.1,1,1,K0III,,,,4928,25,25,,,
HD 196050 b,Confirmed,2.83,,,2.83,,,,,,1316.24,,,2.47,,,0.21,,,,,,0.052665,2002,12/22/10,223,,,51033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196050,309.4625,-60.6344444,7.5,,,,,46.9,,,0.23,,,1.17,,,1.29,,,G3 V,3.17,,,5874,,,,,
HD 50499 c,Confirmed,2.93,0.18,0.73,2.93,0.18,0.73,,,,8620,402,2623,9.02,0.33,1.73,0,0,14,,,,0.084638,2005,4/3/19,,,,2461832,2885,3731,,,,,,,,,,,,,,,,,,,24.23,1,3.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 50499,103.0083333,-33.9155556,7.21,,,,,47.26,,,0.38,0.03,0.03,1.31,0.07,0.07,1.42,0.02,0.02,G IV,2.4,0.56,0.56,6099,43,43,IR Excess,,
HD 50499 b,Confirmed,1.45,0.08,0.08,1.45,0.08,0.08,,,,2483.7,18.3,18.3,3.93,0.07,0.07,0.27,0.03,0.04,,,,0.081676,2005,4/3/19,259.32,10.2,7.9,2456172.9,67.5,50.4,,,,,,,,,,,,,,,,,,,18.94,0.86,0.82,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 50499,103.0083333,-33.9155556,7.21,,,,,47.26,,,0.38,0.03,0.03,1.31,0.07,0.07,1.42,0.02,0.02,G IV,2.4,0.56,0.56,6099,43,43,IR Excess,,
HD 204313 d,Confirmed,1.68,0.3,0.3,1.68,0.3,0.3,,,,2831.6,150,150,3.93,0.14,0.14,0.28,0.09,0.09,,,,0.082964,2012,5/22/12,247,16,16,2456376.9,176,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767,17,17,,,
HD 204313 b,Confirmed,4.28,0.3,0.3,4.28,0.3,0.3,,,,2024.1,3.1,3.1,3.167,0.12,0.12,0.0946,0.0032,0.0032,,,,0.064176,2009,10/26/15,292.5,2.7,2.7,2452111.6,28,28,,,,,,,,,,,,,,,,,,,68.45,0.3,0.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767,17,17,,,
HD 220773 b,Confirmed,1.45,0.3,0.3,1.45,0.3,0.3,,,,3724.7,463,463,4.94,0.2,0.2,0.51,0.1,0.1,,,,0.100816,2012,2/4/12,226,13,13,2453866.4,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 220773,351.6125,8.6438889,7.09,,,,,49,,,0.09,0.06,0.06,1.16,,,,,,F9,4.4,,,5940,100,100,,,
HD 79498 b,Confirmed,1.34,0.07,0.07,1.34,0.07,0.07,,,,1966,41,41,3.13,0.08,0.08,0.59,0.02,0.02,,,,0.063878,2012,2/4/12,221,6,6,2453210.9,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 79498,138.7875,23.3755556,8.03,,,,,49,,,0.24,0.06,0.06,1.06,,,,,,G5,2.7,,,5740,100,100,,,
HD 222155 b,Confirmed,1.9,0.53,0.67,1.9,0.53,0.67,,,,3999,541,541,5.1,0.7,0.7,0.16,0.22,0.22,,,,0.10387,2012,5/25/12,137,52,52,2456319,498,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 222155,354.5,48.9963889,7.1,,,,,49.1,1.5,1.5,-0.11,0.05,0.05,1.13,0.11,0.11,1.67,0.7,0.7,G2V,8.2,0.7,0.7,5765,22,22,,,
HD 72659 b,Confirmed,3.15,0.14,0.14,3.15,0.14,0.14,,,,3658,32,32,4.74,0.08,0.08,0.22,0.03,0.03,,,,0.095181,2002,12/20/10,260.7,6.5,6.5,55351,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 72659,128.5125,-1.5680556,7.46,,,,,49.8,2,2,-0.02,0.01,0.01,0.95,2,2,1.36,0.06,0.06,G2 V,6.5,1.5,1.5,5926,62,62,,,
HD 187123 c,Confirmed,1.99,0.25,0.25,1.99,0.25,0.25,,,,3810,420,420,4.89,0.53,0.53,0.252,0.033,0.033,,,,0.0978,1998,5/20/13,250,170,170,53580.04,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 187123,296.7375,34.4208333,7.86,,,,,50,,,0.16,,,1.06,,,1.17,,,G5,5.33,,,5714,,,,,
HD 171238 b,Confirmed,2.6,0.15,0.15,2.6,0.15,0.15,,,,1523,45,45,2.54,0.06,0.06,0.4,0.065,0.065,,,,0.050517,2009,12/19/14,47,9.8,9.8,5062,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 171238,278.6833333,-28.0722222,8.66,,,,,50.28,2.91,2.91,0.17,0.007,0.007,0.943,0.033,0.033,,,,KOV,4.92,4.11,4.11,5467,55,55,,,
HD 23596 b,Confirmed,8.1,,,8.1,,,,,,1565,21,21,2.88,,,0.292,0.023,0.023,,,,0.055385,2002,12/30/10,274.1,3.9,3.9,2451604,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 23596,57,40.5305556,7.24,,,,,52,,,0.32,,,1.27,0.04,0.04,2.09,0.24,0.24,F8,6.89,,,5888,,,,,
HD 125612 d,Confirmed,7.2,,,7.2,,,,,,3008,202,202,4.2,,,0.28,0.12,0.12,,,,0.079515,2009,12/6/10,284,8,8,57174,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 183263 c,Confirmed,3.82,0.59,0.59,3.82,0.59,0.59,,,,2950,340,340,4.25,0.47,0.47,0.253,0.076,0.076,,,,0.080189,2008,12/10/08,339.6,9.1,9.1,11910,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 183263,292.1,8.3577778,7.86,,,,,53,,,0.3,,,1.17,,,1.21,,,G2IV,8.1,,,5888,,,,,
HD 290327 b,Confirmed,2.54,0.14,0.17,2.54,0.14,0.17,,,,2443,117,117,3.43,0.12,0.12,0.08,0.03,0.03,,,,0.062477,2009,9/8/10,268,19,19,5326,412,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 290327,80.8416667,-2.2775,8.96,,,,,54.9,4.3,4.3,-0.11,0.02,0.02,0.9,,,1,0.01,0.01,G8V,,,,5552,21,21,,,
HD 66428 b,Confirmed,2.82,0.027,0.027,2.82,0.027,0.027,,,,1973,31,31,3.18,0.19,0.19,0.465,0.03,0.03,,,,0.057818,2006,7/15/06,152.9,3.9,3.9,,,,,,,,,,,,,,,,,,,12139,16,16,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 66428,120.8666667,-1.1625,8.25,,,,,55,3.8,3.8,0.31,,,1.14552,,,,,,G5,5.56,,,5752,,,,,
HD 25171 b,Confirmed,0.95,0.1,0.1,0.95,0.1,0.1,,,,1845,15,15,3.02,0.16,0.16,0.08,0.06,0.06,,,,0.054909,2010,12/20/10,96,89,89,55301,449,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 25171,58.9541667,-65.1866667,7.79,,,,,55,1.5,1.5,-0.11,0.044,0.044,1.09,0.3,0.3,1.18,0.04,0.04,F8V,2,1.6,1.6,6160,65,65,,,
HD 6718 b,Confirmed,1.56,0.1,0.11,1.56,0.1,0.11,,,,2496,176,176,3.56,0.15,0.15,0.1,0.04,0.04,,,,0.063685,2009,9/8/10,286,35,35,4357,251,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 6718,16.9541667,-8.2336111,8.45,,,,,55.9,2.2,2.2,-0.06,0.02,0.02,0.96,,,1.02,0.03,0.03,G5V,,,,5745,19,19,,,
HD 74156 c,Confirmed,7.997,0.095,0.095,7.997,0.095,0.095,,,,2448.9,5.5,5.5,3.82,0.044,0.044,0.3829,0.008,0.008,,,,0.052664,2003,1/15/16,268.9,1.6,1.6,2448559,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,4.9,4.9,0.13,,,1.24,0.04,0.04,1.64,0.19,0.19,G1V,3.7,0.4,0.4,5960,100,100,,,
HD 106270 b,Confirmed,11,0.8,0.8,11,0.8,0.8,,,,2890,390,390,4.3,0.4,0.4,0.402,0.054,0.054,,,,0.050648,2011,9/2/11,15.4,0.4,0.4,2454830,390,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106270,183.4041667,-9.5133333,7.73,,,,,84.9,5.7,5.7,0.08,0.03,0.03,1.32,0.092,0.092,2.5,0.1,0.1,G5,4.3,0.6,0.6,5638,44,44,,,
HD 190984 b,Confirmed,3.1,,,3.1,,,,,,4885,,,5.5,,,0.57,0.1,0.1,,,,0.053398,2009,11/6/10,318,5,5,2449572,1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 190984,302.8791667,-64.6205556,8.76,,,,,103,21,21,-0.48,0.06,0.06,0.91,,,1.53,,,F8V,,,,5988,25,25,,,
